chapter,word
5,such
6,and
2,key
6,parts
6,size
6,utility
6,satisfy
4,the
3,this
3,for
5,or
2,to
3,for
6,elements
3,although
5,of
4,emulators
5,since
5,make
5,of
6,denotes
4,uses
4,of
6,uncertainties
6,point
3,emulator
6,problems
2,expert
4,follows
6,equal
1,simulator
6,iterative
6,out
5,making
6,mean
6,but
5,is
6,utility
5,in
6,once
7,u
5,uniform
6,construct
5,input
2,probability
6,rather
5,bound
2,of
2,time
4,inv
3,leading
5,rule
1,the
3,form
4,function
6,based
5,to
3,just
5,given
3,sample
5,the
3,uncorrelated
6,to
6,exercise
6,prior
3,more
5,example
4,on
3,are
2,is
5,example
2,against
6,a
4,is
6,not
5,of
2,which
5,function
2,a
3,and
5,sample
5,space
6,on
3,equation
4,example
4,can
3,better
6,post
4,way
3,can
6,to
4,couple
2,in
5,we
5,mindpwilson2017
5,nroy
6,found
3,h
1,if
3,of
3,with
6,expect
3,be
5,depends
4,the
1,theory
3,choose
7,quantifying
6,flexible
3,about
5,decisions
6,of
5,the
5,athena
3,_d
5,be
2,multiplicative
6,variance
4,as
5,this
3,of
5,distinct
6,each
6,future
7,the
2,thesis
4,the
6,find
3,c
2,then
2,to
5,example
3,prior
2,region
4,an
6,nature
2,additional
6,of
3,the
6,size
6,they
6,quantities
5,to
2,zit16
1,decisions
5,should
6,simplex
4,be
2,assuming
6,region
3,the
5,be
2,the
2,would
6,effects
6,1
2,of
5,only
5,consider
2,as
5,uncertainties
2,the
6,implied
5,where
3,a
4,overview
3,decays
6,to
5,emulation
6,not
2,or
4,the
5,evaluate
3,in
2,vector
4,a
5,same
1,inputs
6,1
5,chapter
7,this
6,alm
7,management
6,i
6,tab:optimiser
5,each
3,to
4,c
6,out
2,we
5,posterior
6,function
3,squared
5,bayesian
2,previously
2,checking
3,unknown
4,on
6,a
3,to
1,appropriate
5,discrepancy
4,more
2,choose
2,uncertain
2,about
6,first
3,range
6,type
7,of
6,nroy
2,be
2,this
6,thesis2021
3,parameters
4,with
2,for
2,athena
4,distribution
3,seen
7,and
6,athena
6,time
6,the
5,pi
7,a
6,which
4,be
2,offs
6,ruling
2,for
5,discrepancy
6,is
6,specify
4,interested
3,construct
4,expensive
4,reason
3,1
3,exponential
5,the
3,a
2,elicited
3,is
7,volume
2,unknown
5,some
5,sources
5,for
6,it
6,decisions2
6,enforce
6,we
2,willing
5,utilised
6,will
3,cheap
2,decision
2,p_j
5,to
6,that
3,the
6,tabular
2,about
5,of
6,two
5,itemize
6,we
2,background
5,more
4,distributions
5,aspect
7,decision
2,of
5,but
3,are
5,of
6,red
4,gaussian
6,techniques
4,cheap
5,matrix
5,and
3,high
2,have
6,this
6,loo
6,from
5,which
4,more
4,presented
4,to
4,even
4,a
3,have
4,then
5,form
7,gaussian
5,can
6,set
6,to
3,to
2,gain
4,thus
3,subset
6,designs
4,overly
2,from
5,using
4,as
6,warehouse
3,better
7,to
6,solve
3,gp
6,be
3,sample
6,inputs
4,against
6,decision
6,experiment
4,is
1,a
7,regime
4,then
3,functions
4,time
4,the
4,the
6,more
4,at
2,function
5,this
4,are
2,for
3,we
4,align
3,and
7,dm
3,and
6,example
5,solution
4,emulation
3,stoch
3,geostatistics
3,the
5,second
6,is
6,n_i
7,size
6,all
6,which
4,next
5,by
2,start
3,the
5,about
4,emulation
7,see
3,emulators
4,m_e
6,improves
3,a
5,wave
6,dec
5,regardless
3,extrapolating
6,the
5,not
4,reject
3,stochastic
4,chapter
4,the
6,of
3,thus
4,both
2,or
4,the
5,from
5,space
5,been
6,hm
6,policy
3,covariance
5,now
3,both
3,emulators
2,two
6,is
6,other
6,the
7,subset
6,be
4,squared
4,is
3,if
5,the
6,posterior
6,function
1,and
6,we
2,an
5,improvements
4,of
4,the
2,beliefs
7,as
6,warehouse
4,to
6,be
2,utility
7,a
4,implemented
2,typical
4,and
2,risk
3,bo'h
6,of
4,the
5,the
5,this
6,decisions
5,write
4,x
4,inputs
5,maker
5,optim
6,use
6,restoration
3,set
4,simulators
4,will
4,of
6,the
6,sense
2,this
6,calculate
6,hold
3,draw
7,chosen
2,attribute
2,dashed
5,is
6,an
5,since
2,one
2,fit
2,function
3,prior.pdf
2,are
6,emulator
5,relevant
5,the
4,map
3,is
6,the
5,algorithm
1,knowledge
5,box
4,a
2,order
3,t
2,of
5,thus
2,to
4,quantification
4,the
3,is
3,from
6,choice
5,an
4,this
5,knowledge
3,is
2,caused
2,one
5,in
6,the
6,diverse
3,equation
5,uncertainty
6,a
3,2x
5,closed
3,i
5,for
5,uniform
5,if
3,the
6,is
4,many
6,but
1,emulatorspohagan01
3,a
6,an
7,simulator
5,is
3,squared
2,of
5,then
6,then
5,the
3,a
5,x
6,that
2,of
7,model
5,and
1,distributions
3,minutes
4,stochastic
2,profitability
5,maximiser
2,eliciting
2,the
3,metrics
4,computer
2,also
3,almost
3,behaviour
6,decisions
6,even
7,lends
3,we
6,follows
6,be
4,parameters
2,which
2,within
2,wind
4,is
4,to
6,a
6,a
5,task
2,in
6,troublesome
5,a
6,each
4,relative
4,c_v
6,to
2,the
6,fig:final
6,that
4,may
6,we
2,this
5,than
3,of
3,to
6,through
5,use
3,can
3,ethical
6,with
6,these
2,an
6,examples
6,close
6,will
5,to
1,uncertain
4,x
5,can
2,ordered
3,fig:diags
1,complex
5,us
3,a
5,structure
2,depends
6,5050
7,little
6,spare
6,modelling
5,the
1,ch:hetsml
1,the
5,an
2,apart
4,of
6,decision
3,to
5,then
2,operation
7,this
6,approach
5,be
4,the
5,with
5,terminated
7,to
6,appear
6,we
5,problems
1,to
3,a
2,utility
7,were
4,the
4,mutated
3,of
4,size
3,d
6,they
7,stochastic
2,somewhat
6,the
5,below
6,construct
4,that
5,would
6,that
4,models
4,eq
3,reduce
2,the
6,to
5,ruled
3,size
5,sampling
4,these
6,clearly
3,in
6,diagnostics
5,for
6,tasks
5,is
7,could
5,decision
6,large
2,for
4,the
3,the
2,equivalently
5,we
3,the
6,show
6,we
3,purpose
6,are
2,utility
5,utility
5,another
6,is
2,quantity
5,computation
5,is
4,autoregressive
5,many
6,optimisation
6,of
5,construct
6,conduct
5,a
5,an
6,at
6,by
4,bayesian
